51524,2018-01-13 18:53:29,751.06
719106,2018-01-13 18:53:29,591.7
209766,2018-01-13 18:53:29,895.64
424978,2018-01-13 18:53:29,695.89
709443,2018-01-13 18:53:29,-919.19
529933,2018-01-13 18:53:29,-596.91
221416,2018-01-13 18:53:29,-183.59
881616,2018-01-13 18:53:29,-786.84
494514,2018-01-13 18:53:29,580.2
302370,2018-01-13 18:53:29,476.54
455515,2018-01-13 18:53:29,-583.21
486655,2018-01-13 18:53:29,43.62
254179,2018-01-13 18:53:29,629.8
549538,2018-01-13 18:53:29,-149.24
938606,2018-01-13 18:53:29,509.49
12065,2018-01-13 18:53:29,-817.87
762420,2018-01-13 18:53:29,679.61
698261,2018-01-13 18:53:29,-468.37
90518,2018-01-13 18:53:29,367.03
483374,2018-01-13 18:53:29,-154.1
548709,2018-01-13 18:53:29,885.26
193379,2018-01-13 18:53:29,-779.66
517684,2018-01-13 18:53:29,750.59
600668,2018-01-13 18:53:29,94.71
233085,2018-01-13 18:53:29,392.08
501971,2018-01-13 18:53:29,25.02
35706,2018-01-13 18:53:29,383.71
769783,2018-01-13 18:53:29,-620.97
894781,2018-01-13 18:53:29,-902.36
830340,2018-01-13 18:53:29,991.55
30
